"job_title","job_description","salary_string"
Outdoor Sales Agent,"We are looking to hire an Outdoor Sales Representative to join our dynamic team.
Responsibilities:
Establishes, develops and maintains business relationships with current customers and prospective customers in the assigned territory/market segment to generate new business for the organization’s products/services.
Identify and pursue sales leads, prospective new clients and move them through the sales pipeline from qualification to close stages
Meet or surpass the monthly quota and lead requirements/revenue-generating activities
Answer all related inquiries about the products being offered
Submit regular sales/progress reports to upper management
Achieve monthly assigned sales target
Qualifications:
2-3 years of outdoor sales experience
Strong communication and Sales skills
Passion and drive, Competitive spirit and Professionalism
English speakers are required
Male/ Female
Job Types: Full-time, Permanent
Salary: QAR3,000.00 - QAR4,000.00 per month
Ability to commute/relocate:
Doha: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Are you currently available in Qatar?
Experience:
Sales: 2 years (Required)
Language:
English (Required)","QAR 3,000 - QAR 4,000 a month"
Senior Accountant – General Accounting,"Generally accounting experience in Construction industry for at least 3 years as accountant would be preferred.
Thorough knowledge and understanding in Booking Keeping
Knowledge and experience in reconciliation of accounting records/Bank statements/Supplier SOA/GL etc.
Moderate knowledge in IFRS & GAAP
Knowledge and experience with Banking and Trade Finance facilities
Experience in liaising with Auditors for annual audit and solve audit queries
Understanding of Financial statements
Highly organized and ready to work under pressure.
MS Excel skill to prepare the reports.
Good communication skill in English language
Good computing skill
Job Types: Full-time, Permanent
Salary: QAR10,000.00 - QAR11,500.00 per month","QAR 10,000 - QAR 11,500 a month"
Female Receptionist,"1. Female receptionist
2. Receptionist should speak fluent in Arabic and English.
3. Working hours per day: 12hrs
4. Time of work : 8 a.m. to 8:00 p.m.
5. Working days per week 6 ( Saturday to Thursday )
6. Start date: March 1, 2023
7. Contract term: One year
8. Location : Geely Showroom, Salwa Road
9. Salary : 4500 QR per month
10. Nationality : Arabic
11. Candidate should have valid QID with dependent / Free visa
Job Types: Full-time, Permanent
Salary: QAR4,000.00 - QAR4,500.00 per month
Ability to commute/relocate:
Doha: Reliably commute or planning to relocate before starting work (Required)
Language:
Arabic (Preferred)
Expected Start Date: 01/03/2023","QAR 4,000 - QAR 4,500 a month"
Marketing Account Manager,"Our growing agency is looking for a motivated and experienced Marketing Account Manager to develop innovative marketing strategies and oversee a diverse client portfolio. As a Marketing Account Manager, you will assist with large-scale outreach based on our client's needs. This includes developing content for social media and other marketing campaigns, establishing budgets, monitoring projects to ensure they meet deadlines and evaluating each campaign for effectiveness. Additionally, you will be working closely with our marketing team to ensure that all brand messaging is consistent and on-brand for each campaign. Main Responsibilities as mentioned and not limited to the below duties: ● Manages an internal and external team in the delivery of successful Marketing strategies. ● Take lead responsibility for mapping and overseeing all marketing activities throughout the assigned accounts. ● Building a long-lasting relationship with our clients. ● Setting up frequent meetings with our clients to present advertising proposals and address their concerns. ● Working with the marketing team in the preparation of media kits and promotional plans. ● Perform market research to determine new marketing opportunities as well as plans to improve them effectively. ● Attend internal and external marketing meetings, meet sales quotas and fulfil administrative tasks. ● Advance Knowledge of Social media platforms and digital marketing. ● Preparation of Marketing Strategies and action plans upon request. ● Planning, managing and attending photo and video shoots on a frequent basis, with the agency’s photography team (weekdays or weekends on occasion, official events, and national holidays may be included). ● A local market experience is an added advantage. ● Develop marketing campaigns for both traditional and digital media. ● Oversee each phase to ensure staff meets deadlines. ● Evaluate marketing campaigns for effectiveness and take a lead to develop, upgrade and add new approaches whenever required. ● Collaborate with the marketing and sales team to achieve company goals. Qualifications: • Strong Marketing Skills • Advanced English skills (written and oral) • Arabic fluency is an advantage • Customer-centric approach • Excellent communication skills • Well organized • Multitasking • Locally based Job Type: • Full Time / Permanent • Working Hours ( 8 AM – 5 PM )
Job Type: Full-time
Salary: QAR8,000.00 - QAR10,000.00 per month
Ability to commute/relocate:
Doha: Reliably commute or planning to relocate before starting work (Required)
Experience:
Marketing: 1 year (Preferred)","QAR 8,000 - QAR 10,000 a month"
HR Assistant,"Creating reports and tracking key HR metrics, such as employee turnover, headcount, and benefits utilization.
Supporting employee training programs, scheduling courses, tracking attendance, and maintaining records.
Contributing to HR projects, initiatives, and programs and providing support to the HR department as needed.
Handling general administrative tasks, such as answering phone calls, responding to emails, scheduling appointments, and preparing correspondence.
Ensuring compliance with federal and state employment regulations and laws, including the Equal Employment Opportunity Commission and Department of Labor regulations.
Assisting with the preparation and administration of employee performance evaluations and compensation packages.
Responding to employee inquiries and providing guidance and support as needed.
Managing and updating the HR database to ensure all employee information is accurate, comprehensive, and up-to-date.
Participating in the recruitment process, including publishing job vacancies, reviewing resumes, scheduling interviews, and conducting reference and background checks.
Facilitating the onboarding of new hires, including handling new hire paperwork, preparing orientation materials, and ensuring a seamless integration into the company.
Assisting with the administration of employee benefits, answering benefits-related questions, resolving benefits issues, and enrolling employees in relevant programs.
Processing changes related to employees, such as promotions, transfers, and terminations, and updating employee records in the HR database.
Job Types: Full-time, Permanent
Salary: QAR4,500.00 per month
Education:
Diploma (Preferred)
Experience:
Qatar: 3 years (Preferred)
Human Resources: 3 years (Preferred)
Data Entry: 3 years (Preferred)
Payroll: 3 years (Preferred)
Language:
English (Required)","QAR 4,500 a month"
ACCOUNTANT,"MINIMUM 2 YEARS EXPERIENCE AS ACCOUNTANT
MALE AND FEMALE BOTH CAN APPLY
Job Type: Full-time
Salary: QAR3,000.00 - QAR4,000.00 per month
Ability to commute/relocate:
Doha: Reliably commute or planning to relocate before starting work (Required)
Experience:
Accountant (Required)","QAR 3,000 - QAR 4,000 a month"
Accountant,"Accountant
Qualification: Bachelor’s Degree /Diploma or Professional in the field of Accounting
Experience: 3+ years (Minimum 2 year experience in Qatar)
Responsibilities:
Follow up on receivables and make sure timely collection of the same.
Follow up on payables & pay the creditors on time without affecting cash flow.
Do a scrutiny of the ledgers and reconcile the same.
Day to day accounts bookkeeping and ledge entries.
Cash Control – Petty Cash and Bank Account reconciliation
Payroll- preparing monthly staff wages and benefits.
Purchase Control – Checking the procedures, invoices & prices.
Should be excellent in MS-Excel. Transferable Visa with NOC
Job Types: Full-time, Permanent, Contract
Contract length: 12 months
Salary: From QAR2,500.00 per month
Ability to commute/relocate:
Doha: Reliably commute or willing to relocate with an employer-provided relocation package (Required)
Experience:
Accounting: 3 years (Preferred)
Application Deadline: 14/02/2023
Expected Start Date: 01/03/2023","QAR 2,500 a month"
Burger and Sandwich Maker / Chef (Qatar Local Hiring),"Kindly make sure that you have COMPLETELY and ACCURATELY answered the pre-screening questions that follow. Incomplete answers will invalidate your application.
Kitchen Helper / Commis III: QAR 1,800
Cook / Commis II: QAR 2,000
Cook / Commis I: QAR 2,200
Demi Chef de Partie: QAR 2,500
Live out allowance: QAR 1,200 (Housing and Transportation)
Must be currently in Qatar
Must have experience working in a professional kitchen
Must have worked at least 1 year in present company, if based in Qatar
With ready NOC or can get an NOC from current or previous employer, or company stamped resignation letter
Visa /sponsorship must be transferable (No freelance)
Knowledge in Food Safety and Hygiene Standards is an advantage
Job Types: Full-time, Permanent
Salary: QAR1,800.00 - QAR3,700.00 per month
Application Question(s):
In which country are you currently located?
Which country are you from? (Nationality)
What is your age right now?
Do you have valid Qatar ID?
If selected, how many weeks do you need to transfer companies?
Do you have experience in making / preparing burgers and sandwiches? Yes or No? If Yes, in which restaurant?","QAR 1,800 - QAR 3,700 a month"
Office girl,"Office Girl
Full job Description
As a Cleaner and Coffee Serving Girl, your primary responsibilities will include maintaining a clean and organized environment for our customers and staff and serving coffee and other beverages to our customers. You will be responsible for cleaning and maintaining our facilities, including restrooms, dining areas, and kitchen spaces. You will also be responsible for preparing and serving beverages and assisting with food service as needed.
In this role, you will be expected to maintain a high standard of cleanliness and customer service, as well as work collaboratively with other members of our team to ensure that our customers receive the best possible experience.
Responsibility
Maintain office cleanliness
Should be flexible and efficient in handling tasks daily
Preparing/serving tea, coffee, water, etc. to the staff, guests & Management with proper hygiene
Keeps stock of beverages, sugar, milk, etc
Qualifications
Office Girl: 1-year Experience
Benefits
· Employment Visa
· Job Types: Full-time, Permanent
Job Type: Full-time
Salary: From AED1,500.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Experience:
office girl: 1 year (Required)","AED1,500 a month"
Pet Groomer (Certified),"We are looking for PET GROOMER with at least 5 years of experience in the same field. We are looking for candidate who can join immediately.
Job Type: Full-time
Salary: AED4,500.00 - AED5,000.00 per month","AED4,500 - AED5,000 a month"
Workers Required for Poland,"Job Positions
Welder / Pipe fitter HVAC / Mason / Sprinkler installer / Shuttering carpenter / Bricklayers / Steel Fixer / Locksmith / Electrician
Benefits
Salary: 600 Euro to 1000 Euro
Acc + Trans + Food Allowance (50 Euro)
Experience required atleast 2 - 3 years in same field
9 hrs working + Duty 26 days
Basic English is mandatory
Note: Process 30 - 45 days Emirates ID & Visa Should be 4-6 months valid
Job Types: Full-time, Permanent, Fresher
Salary: AED2,300.00 - AED4,000.00 per month","AED2,300 - AED4,000 a month"
PRO,"Job Description
Responsible for coordinating and liaising between the company and Government organizations/authorities and providing a key interface between the two.
Provide quick, efficient, and reliable services for all Government related jobs such as Employment Permits, Entry Visas, Medical Examinations, miscellaneous jobs related to Immigration, Ministry of Labor & Consulates, and Business Licences to the company and its group , adhering to the regular amendments in rules and regulations within very short notices.
Respond effectively to the demands of the Businesses, employees and their families to assist them on all government related services.
Responsible to administer the following towards Employee and Dependants liaising with local UAE govt ministries :-
a) Obtain new employment visas / work permits for all expatriate employees.
b) Monitor and renew employee residence permits.
c) Obtain new residence visas for dependants of employees.
d) Facilitate renewal of residence visas for dependants.
e) Facilitate obtaining and renewal of Expatriates passports for employees and dependants.
f) Facilitate and follow-up cancellation of visas for employees and dependants.
g) Facilitate complex medical / police procedures on event of death of any employee or next to kin.
Responsible to administer the following towards business facilitation on day-to-day basis:
a) Liaise with embassies / foreign diplomatic missions to enable business visits.
b) Liaise with UAE Immigration dept. in obtaining business entry visas for global business visitors.
Administer company and joint venture companies’ licenses and tax remittances with various UAE
govt. authorities viz., Economic Department, Municipality, Chamber of Commerce and Ministry of Finance & Industries etc.
Provide expert advice to business and employees on all visa formalities and all other gov’t related procedures.
Accountable in maintaining accurate records for all above services.
The ever-changing government rules and regulations requires the post-holder to be abreast of updates on information / documents and at times certain jobs have to be tacked efficiently without much notice.
Any TO-DO-NOW jobs always have to be evaluated, prioritized and accomplished at short notices.
Requirements:
The candidate must have at least 3 years experience in similar job with strong experience with govt. organizations and embassies
Spoken and written English & Arabic is a must
Valid Driving License
Good computer skills (MS Office)
Job Types: Full-time, Permanent
Salary: AED4,500.00 - AED5,500.00 per month
Experience:
PRO: 4 years (Preferred)
Language:
Malayalam (Required)
Arabic (Preferred)
License/Certification:
UAE Driving License (Preferred)","AED4,500 - AED5,500 a month"
Operator/Coordinator,"Coordinator/Operator Job Responsibilities are as follows:
- Handles the company's RTA Online Portal (Applies for Driver's Training and Certificate)
- Coordination with Driving School (Theory Classes to Road Test of Bike Riders)
- Coordination with company PRO and riders for EID Fingerprints, Medical Exam, and Tawjeeh Classes of Bike Riders
- Assist bike riders in case of Bike Accidents and Bike Maintenance
- Inventory Handling (Bike Boxes and Distribution of Sims to riders)
- Maintaining Motorbike Timesheets
- Camp Management
- Training Bike Riders
- Onboarding Bike Riders to Online Platform
Job Type: Full-time
Salary: From AED3,000.00 per month","AED3,000 a month"
Social Media Manager,"We're looking for a Social Media & Communications Manager
Responsibilities:
Manage & oversee social media content.
Create engaging multimedia content across multiple platforms.
Manage the day to day handling of all social media channels such as Facebook, Twitter, Youtube, Linkedin, Medium, Tik-Tok, Reddit & Instagram.
Stay up to date with the latest social media best practices & technologies.
Under take audience research.
Oversee day to day management of campaigns & ensure brand consistency.
Manage social media communities by responding to social media posts and developing discussions.
Facilitate brand & company awareness through various social media channels.
Update our community with the latest developments.
Job Type: Full-time
Salary: AED4,000.00 per month","AED4,000 a month"
waitress,"Duties:
Welcomes customers when they arrive at a restaurant
Introduces customers to the menu and announces daily or seasonal menu specials
Answers questions about menu items, ingredients, and pricing
Takes customers' orders for food and drink by writing them on a ticket, entering them into a tablet, or memorizing them
Passes customer orders along to kitchen staff for preparation
Prepares drinks and serves them to customers
Collects food orders from the kitchen, verifies that they are correct, and serves them to customers
Ensures that customers are satisfied with their meals and processes orders for additional courses if necessary
Removes used dishes, glasses, and flatware from tables
Prepares cheques and delivers them to customers
Processes cash and credit card payments and returns change to customers if necessary
Sets tables with dishes, glasses, and flatware and refills condiments
Maintains familiarity with menu items, specials, and restaurant information
Meets with managers and wait staff daily or regularly in order to learn about menu changes and specials as well as discuss upcoming reservations and customers with special needs
Qualifications:
Physical Strength
Physical Stamina
Attention to Detail
Ability to Multitask
Written and Verbal Communication
Customer Service Skills
Interpersonal Communication
Teamwork
Ability to Work Under Pressure
Positive Attitude
Job Types: Full-time, Permanent
Salary: AED2,500.00 - AED2,800.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Experience:
server: 2 years (Preferred)","AED2,500 - AED2,800 a month"
Technology Sales Executive - Arabic Speaking Only,"Technology Sales Executive (Arabic Speaking Only)
Professional Sales skills/experience mandatory
Technology experience is not required but would be a plus
As part of our growth and expansion, we are hiring an experienced Business Development Executive to join our Sales team in Dubai and KSA. The posting requires extensive travel across the GCC for extended periods.
Job Responsibilities:
Developing and executing sales plans to meet and exceed monthly and quarterly sales goals
Growing business through the development of new leads and new contacts
Identifying new revenue opportunities
Building business relationships with current and potential clients
Attending networking events to attract and retain clients
Developing and executing sales and marketing strategies to grow business
Maintaining and updating sales, marketing and business development documentation
Assisting with marketing and promotional projects
Collaborating with management on sales goals
Support the team with other responsibilities as required
Desired Candidate Requirements:
Excellent verbal and written communication skills
Ability to present and explain ideas to a variety of audiences
Strong organizational and time management skills
Strong customer service skills
Ability to sell value and create credibility
Arabic speaker
Driving license (mandatory)
Willing to relocate to Saudi Arabia or work 70/30, in KSA and UAE
Job Type: Full-time
Salary: AED6,000.00 - AED8,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Experience:
sales: 1 year (Preferred)
Language:
Arabic (Preferred)","AED6,000 - AED8,000 a month"
Retail Store Incharge/ Manager,"UAE Experience mandatory in Baby care product or Kid apparels
Must have ability to take care whole responsibility of Store and Staffs.
· 1. As an incharge or manager position for mothercare/babycare store for 2years.（priority from mon-store,the baby shop,mothercare)
2. Office software operation skills for data analysis.
3. Good personal image ,good affinity with babies and mothers (priority female )
5. Accepting to transfer to UAE any stores.Must have experience in preparing Schedules.
· Monitoring and Supervising Store operations preparing daily sales reports.
· Experience in performing banking transactions.
· Serves customers by training staff; purchasing and displaying products.
· Promotes sales by demonstrating merchandise and products to customers.
· Maintains inventory by checking merchandise to determine inventory levels; anticipating customer demand.
· Prepares reports by collecting, analyzing, and summarizing information.
· Maintains quality service by establishing and enforcing organization standards.
· Contributes to team effort by accomplishing related results as needed.
· Assisting customers whenever necessary.
· Organizing employee schedule.
· Ensuring that health, safety, and security rules are followed.
· Taking disciplinary action when necessary.
Location: Ready for Transfer......Emirates - Dubai,Abudhabi,Sharjah,Ras al Khaimah
Job Type: Full-time
Salary: AED3,000.00 - AED4,500.00 per month
Job Type: Full-time
Salary: AED3,000.00 - AED4,500.00 per month
Application Question(s):
Can Join Immediately?","AED3,000 - AED4,500 a month"
Marketing Executive,"As a marketing executive, you'll need to:
create awareness of and develop the brand you're marketing
communicate with target audiences and build and develop customer relationships
help with marketing plans, advertising, direct marketing and campaigns
source advertising opportunities and place adverts in the social media
work closely with in-house or external creative agencies to design marketing materials such as brochures and adverts
produce creative content, including videos and blog posts
run social media channels
liaise with designers and printers and organise photo shoots
arrange the effective distribution of marketing materials
maintain and update customer databases
conduct market research, for example using customer questionnaires and focus groups
(PREFERABLY FEMALE)
Job Type: Full-time
Salary: AED4,000.00 - AED6,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
How many years of experience you have as a Marketing
Education:
Bachelor's (Required)
Experience:
marketing executive (Required)
Application Deadline: 01/04/2023","AED4,000 - AED6,000 a month"
Supervisor,"We are looking for a Supervisor with experience in Marble / Granite Floor grinding & polishing work. Preference will be for Candidates who have also a UAE driving license. Staying in company provided accommodation is compulsory. Candidates with UAE experience only will be considered.
Job Type: Full-time
Salary: AED2,500.00 - AED3,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Preferred)
Experience:
UAE: 1 year (Required)
License/Certification:
Valid UAE driving license (Required)
Application Deadline: 12/03/2023
Expected Start Date: 15/03/2023","AED2,500 - AED3,000 a month"
Electrical Foreman,"* Immediate Available
*Minimum 5 years GCC experience
*Fire fighting & fire alarm experience required
*Diploma is a must
Job Type: Full-time
Salary: AED2,000.00 - AED3,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)","AED2,000 - AED3,000 a month"
Telesales Agaent,"LOOKING FOR TELESALES/SALES EXECUTIVE :
Great opportunity to join a 5-star hotel in Palm Jumeriah. Use your voice and passion to make a sale, Come and Join us!
Requirements:
No age limit
Housewives, Fresh grads are welcome
No experience required
Part/Full time positions are available.
Training is provided
Telesales experience is a PLUS
Can join immediately
NO VISIT VISA
Benefits:
Fixed Salary + Bonus
Meal
Unlimited Commission based on performance
Job Type: Part-time
Part-time hours: 20 per week
Salary: AED2,000.00 - AED3,100.00 per month
Ability to commute/relocate:
Jumeirah: Reliably commute or planning to relocate before starting work (Required)
Experience:
telemarketer: 1 year (Preferred)","AED2,000 - AED3,100 a month"
Production Helper,"We are urgently looking for a Production Helper to be part of our growing team in Advertising / Branding / Exhibition Design Company.
Job Qualifications:
Candidates with technical studies
Must be ready to work with flexible hours
Having good communication skills
Work experience in Graphics, Signages, acrylic, metal Fabrications, Vinyl Applications and Electrical works or similar industry will be preferred
Can join immediately
Education and Experience:
· Technical education
Job Types: Full-time, Permanent
Salary: AED1,800.00 - AED2,000.00 per month
Application Question(s):
Are you in Dubai?
Education:
Diploma (Required)
Experience:
technical works: 2 years (Required)
signages,acrylic,metal,electrical works: 2 years (Required)","AED1,800 - AED2,000 a month"
Receptionist and Administrative - Arabic and English Speaker,"We are the market leader in the industry of citizenship programs to legally obtain a second passport. The company holds the strongest credentials within the citizenship by investment industry and it is officially authorized and licensed by international Governments for citizenship processing. Being one of the oldest companies in the industry, during our long journey, we have successfully processed a second nationality for thousands of clients from over 60 countries across Middle East, Africa, Europe and Asia.
We want to expand our network of offices and increase our international presence as well as diversify into new related business areas.
We are looking for an enthusiastic Arabic and English-speaking person as an Office receptionist and Administrative. The main role is to greet visitors and delivering exceptional customer service assistance. This entails answering calls and fielding them accordingly, addressing visitor questions and needs, and providing an overall welcoming environment.
Qualifications
Arabic and English-speaking.
Perfect written and spoken Arabic and English. Third language will be positively valued.
Minimum 2 years of relevant experience in the area of an office environment and administration, clients relations in a professional services industry. Ideally in the sector of financial/investment products and services i.e. wealth management or private banking, Government and Healthcare. Alternatively, luxury real estate.
Professional skills required
Excellent interpersonal and customer service skills.
Proficiency in computer software skills.
Ability to work in a team and to interact with other professionals.
Polite and with good manners. Used to deal with HNWI’s.
Ability to organize and respond in situations of high demand.
Autonomy and ability to assume responsibilities.
Personal skills required
Great Arabic and English communication skills both verbally, face to face and on the telephone, as well as perfect writing skills.
Confidence liaising and communicating with clients, colleagues, and individuals.
Proactive problem solving and proficient managing workloads.
Multitasking and time-management skills, with the ability to prioritize tasks.
Attention to detail and being highly organized are a must.
Thorough follow-up skills and practice.
Job Type: Full-time
Salary: AED3,500.00 - AED4,500.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Experience:
Receptionist: 2 years (Required)
Language:
Arabic (Required)
english (Required)
Application Deadline: 26/02/2023","AED3,500 - AED4,500 a month"
Arabic Driving Instructor,"Looking for Light Motor Vehicle Instructor as per the below requirements: -
- Age: below 35Y.
- UAE Light Motor Vehicle License (Manual) (Min 3 years old).
- Multiple Driving license categories - preferred.
- Education: Minimum High School Certificate 12th Grade - Attestation mandatory
- language: English/Arabic/Hindi/ Urdu
- Salary 3000 AED +Ticket+Medical Insurance+Overtime as per requirement.
*It’s very important to mention full details on your CV (Date of Birth /Visa status & expiry date)
*Please attach your Driving license Copy 2 sides (CV's with missing details will be rejected).
* Please apply only if you matching the requirements by sending your CV TO:
( careers AT drivedubai DOT ae)
Job Types: Full-time, Permanent
Job Type: Full-time
Salary: AED3,000.00 per month","AED3,000 a month"
Engineering Coordinator,"Job Requirements:
Candidate should be
· Good Communication Skill
· Good knowledge in Excel & MS
· Preferred those who have good Market Awareness and System Familiarity
Job Type: Full-time
Salary: From AED2,500.00 per month","AED2,500 a month"
Security Guard,"Requirements:
Good communication skills (read, write, speak)
Should have good/strong physique
Must have 1 year of experience
Age 21 - 35 years
Education - High School
Responsibilities:
Maintain rules and ensure compliance with company policies and procedures.
Maintain a log book for visitors.
Report any incident to the line manager on an immediate basis
Ensure to attend to complaints and report to line manager.
Strictly follow the security policy for entrance, exit, visitors, and parking.
Ensure to track and follow-up as per the scheduled visit and report any problems
Disposable waste materials on daily basis.
Clean kitchens, washrooms, and common areas on daily basis.
Maintain daily report for any repairs on facilities including plumbing, painting, carpentry, cleaning, and electrical work. i.e, AC.
Job Type: Full-time
Salary: AED2,200.00 - AED3,000.00 per month","AED2,200 - AED3,000 a month"
Customer Service Executive,"Job Responsibilities:
1. Providing prompt customer support on phone, and WhatsApp.
2. Proactively reaching out to customers for support, new business, and references
3. Keeping customer records and timely follow-up
Required Skill Set
1. Excellent oral and written communication skills
2. Proactive and client service orientation
3.Preferred languages(English,Tamil/Telugu&Hindi/Bengali) any 2 languages mandatory
Qualification*
1. Bachelor's Degree/12th (HSC) in any discipline
2. Master's degree or professional qualifications shall be given preference
Offered Compensation Details
1.company accommodation, food, and visa
Job Types: Full-time, Permanent
Salary: AED1,800.00 - AED2,500.00 per month
COVID-19 considerations:
As per the rules and ongoing procedure","AED1,800 - AED2,500 a month"
Content Writer,"We are looking for a senior content writer to join the marketing team at Floorworld.
The content writer will be in-charge of writing, editing, and proofreading content for all the channels that we use for engaging with our audience. With a proven track record in content strategy and digital content marketing, the content writer will help us shape product experiences, present technical information as understandable concepts.
Primary responsibilities:
Write unique and original content for our online platforms, products and website.
Work with the designers to produce web copy that fits their concept and design criteria.
Proofread and edit all work to deliver grammatically correct and error free projects first time.
Understand customer audiences and tailor messages.
Participate in content strategy and brainstorming sessions with the marketing team.
Optimise content effectiveness by using SEO best practices plus analytical tools such as Google Analytics.
Requirements for the role:
Proven work experience as a Content Writer, Copywriter, Web Content Specialist or similar
Portfolio of content delivered for digital channels (web, social, mobile)
Excellent creative writing and editing skills in English
Exceptional attention to the details
Candidates based in UAE are preferred
Job Type: Full-time
Salary: From AED8,000.00 per month","AED8,000 a month"
Graphics Installer,"We are urgently looking for GRAPHICS INSTALLER to be part of our growing team in Advertising / Branding / Exhibition Design company.
Qualifications:
· Work experience in Graphics, Signages, acrylic, metal Fabrications, Vinyl Applications and Electrical works or similar industry will be preferred
· Excellent Skills and understanding of all kind of signages.
· Electrical and Mechanical knowledge related to signages.
· Prior experience in handling 3D letters, lightboxes, Indoor/Outdoor signages, LED & ACP Panels etc.
Responsibilities
· Preparation and installation of signages on site.
· Installations and placing signages properly to meet customers requirement.
· Maintaining the signages clean, safe and presentable to the customers.
· Monitors signage orders and communicate with the team.
· Coordinate between production and sales team to update progress.
Education and Experience:
· Technical Education
Job Types: Full-time, Permanent
Salary: AED2,000.00 - AED2,200.00 per month
Application Question(s):
Are you in Dubai?
Education:
Diploma (Required)
Experience:
Graphics Installers: 2 years (Required)
Electrical works: 2 years (Required)
Graphics,Signages, metal Fabrications, Vinyl applications: 2 years (Required)","AED2,000 - AED2,200 a month"
Neils and massage,"About us
We are professional, agile and creative.
Our work environment includes:
Modern office setting
Company perks
Lively atmosphere
We are looking for a senior manicurist who's she can do nails well, clean mani and pedicure with gelish..must experience in dubai
Job Type: Full-time
Salary: AED3,800.00 - AED4,500.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Expected Start Date: 25/02/2023","AED3,800 - AED4,500 a month"
Inventory/Merchandise Controller,"ONLY THOSE WHO HAVE THIS EXPERIENCE WILL BE SHORTLISTED
Our company provides customized academy uniforms to our students and require a Male applicant who has 2-3 years experience as a Inventory/Merchandise Controller.
Responsibilities:
Receiving orders and completing orders with minimal delay.
Maintaining and updating records.
Counting materials, equipment, merchandise or supplies in stock.
Reporting discrepancies between physical counts and computer records.
Distributing or stocking merchandise.
Analyzing and creating order formsto ensure that you are keeping the optimal amount of each product
Ensure materials are ready and available for production as and when required.
Skill sets requirement:
Typing skills: 30-35 wpm
Excellent with Excel
Good communication skills
Highly Organized
Job Type: Full-time
Salary: AED2,500.00 - AED3,000.00 per month
Ability to commute/relocate:
Al Quoz: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
How many years of Microsoft Excel knowledge do you have?
Experience:
Merchandising: 2 years (Preferred)","AED2,500 - AED3,000 a month"
Arabic Language Teacher,"We are searching for Arabic teacher for primary & Secondary level school students to teach Arabic.
The Tutor will be responsible for teaching students how to speak and write in Arabic from the beginner or intermediate to advance level, developing a range of assessments including written and oral tests, and creating an overall positive learning experience. You should be able to work with students who have different capabilities and interests.
Job Types: Part-time, Contract
Contract length: 6 months
Salary: AED5,000.00 - AED6,000.00 per month
Experience:
Arabic Teaching: 3 years (Preferred)
License/Certification:
UAE Driving license (Preferred)","AED5,000 - AED6,000 a month"
Waitress cum Cashier,"We are searching for expert Waiters/Waitresses cum Cashiers to join Ilforno restaurant. As a Waiter or Waitress, your duties will be taking orders and serving food and beverages to our customers. You will have to elevate the dining experience for clients.
If you are ready to take up these duties and responsibilities of Waiter or Waitress, then apply right away. We will love to meet you.
Responsibilities
Greet and guide guests to their respective tables.
Provide menu and thorough information about food preparations when asked (e.g. about portions, ingredients, or potential food allergies).
Make tables ready by setting up table runners, cutlery, and glasses.
Inform customers about the day’s specials.
Suggest menu options when asked.
Take precise food and beverages guidelines to place the order.
Use of POS ordering software.
Converse order particulars to the kitchen staff.
Deliver food and drink orders.
Requirements
Proven 2 years of work experience as a Waiter or Waitress, Restaurant Server, or a similar position in the Hospitality Industry.
Attentiveness and endurance for customers.
Ability to work in a team or individually as and when required.
Ready to work in shifts.
Excellent verbal and written communication skills.
Exceptional customer service skills.
Ability to work under pressure and excellent time management abilities.
Apply here: https://www.careers-page.com/il-forno-group-uae
Job Types: Full-time, Permanent
Salary: AED2,000.00 - AED2,700.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Experience:
restaurant server: 2 years (Required)
cashier: 2 years (Required)","AED2,000 - AED2,700 a month"
Sanitary Napkin Wholesale Agent (Female Only),"Going to the different markets to promote napkins in retail and look for wholesale business.
Good at demonstrating and negotiating.
Good at following up the valid contacts.
Job Type: Full-time
Salary: AED3,000.00 - AED5,000.00 per month
Application Question(s):
What's your nationality?
What's your visa status?
Do you have own car on this position?
License/Certification:
UAE driving license (Preferred)","AED3,000 - AED5,000 a month"
"3D Renderer","Experienced 3D renderer with UAE Driving License.
Job Type: Permanent
Salary: AED5,000.00 per month
Experience:
work: 2 years (Preferred)
License/Certification:
UAE Driving License (Preferred)","AED5,000 a month"
